 X1_Cobre;X2_Zinc;X3_Oro; X4_Plata;X5_Plomo;Y_Total
345620;493408;160;44815;187248;4798673
331407;479285;206;42553;201191;5014445
363688;543590;142;46904;213448;4953285
328020;581753;177;55921;223727;4051263
370004;548705;197;58973;208485;4863254
401327;612903;224;64647;240950;4694722
399302;604018;299;64492;201873;4698445
406325;619209;287;64334;203960;4609905
316355;498583;313;53065;161182;3831735
368168;620956;318;62120;203034;4172608
323412;598193;649;61971;209722;3349908
382278;638064;727;61942;217864;3732129
379128;626179;779;53618;214007;3234919
381250;668094;975;53718;224695;4767482
365663;690017;1537;56849;235042;5937623
409693;692290;1856;62014;237597;5315216
485595;760353;2086;63547;248929;4460956
506498;867691;2506;67205;262466;4859951
483338;868757;3029;65091;257713;4938610
536387;899524;4131;71741;271782;4492282
553924;910303;132585;2437706;270576;7118186
722355;1056629;138522;2571114;289546;7864249
844553;1232997;157530;2869639;305651;8513853
842605;1373792;172625;2923686;309164;9156564
1035574;1209006;173224;3059962;306211;10087010
1009899;1201671;208002;3205673;319368;10569071
1048472;1203364;202826;3470661;313332;11078936
1190274;1444361;170236;3501462;329165;11794901
1267867;1602597;179870;3685931;345109;12297839
1276249;1512931;183995;3922708;302459;11666911
1247184;1470450;164084;3640465;261990;12877628
1235345;1256383;166187;3418862;230199;13365936
1298761;1281282;161545;3480857;249236;13199116
1375641;1351273;151486;3674283;266472;13541621
1377642;1315475;140097;3768147;277294;14111371
1700817;1421218;146823;4101568;315525;15046422
2353859;1337081;153006;4375337;314422;16241374
2445584;1473073;151964;4417987;306784;17647774
2436951;1474674;142643;4162658;289195;18086626
